timestamp,backend,model,prompt_length_chars,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms
2026-09-11T11:46:25,groq,openai/gpt-oss-20b,269,63,20,83,8e-06,909.7
2026-09-11T11:46:28,groq,openai/gpt-oss-20b,198,32,618,650,6.5e-05,2270.0
2026-09-11T11:46:30,groq,openai/gpt-oss-20b,286,67,10,77,8e-06,1062.0
2026-09-11T11:46:31,groq,openai/gpt-oss-20b,386,85,26,111,1.1e-05,740.9
2026-09-11T11:46:34,groq,openai/gpt-oss-20b,478,104,70,174,1.7e-05,2008.8
2026-09-11T11:46:36,groq,openai/gpt-oss-20b,278,66,13,79,8e-06,586.9
2026-09-11T11:46:38,groq,openai/gpt-oss-20b,514,91,24,115,1.2e-05,807.8
2026-09-11T11:46:40,groq,openai/gpt-oss-20b,349,74,45,119,1.2e-05,1757.6
2026-09-11T11:46:52,groq,openai/gpt-oss-20b,334,74,293,367,3.7e-05,10594.3
2026-09-11T11:46:58,groq,openai/gpt-oss-20b,323,56,27,83,8e-06,4629.5
2026-09-11T11:47:00,groq,openai/gpt-oss-20b,396,77,68,145,1.5e-05,628.6
2026-09-11T11:47:02,groq,openai/gpt-oss-20b,333,66,51,117,1.2e-05,652.9
2026-09-11T11:47:04,groq,openai/gpt-oss-20b,441,92,15,107,1.1e-05,878.7
2026-09-11T11:47:07,groq,openai/gpt-oss-20b,649,115,74,189,1.9e-05,1717.1
2026-09-11T11:47:09,groq,openai/gpt-oss-20b,319,64,102,166,1.7e-05,865.4
2026-09-11T11:47:11,groq,openai/gpt-oss-20b,565,103,33,136,1.4e-05,1228.7
2026-09-11T11:47:14,groq,openai/gpt-oss-20b,224,45,11,56,6e-06,1644.3
2026-09-11T11:47:18,groq,openai/gpt-oss-20b,271,53,25,78,8e-06,3166.0
2026-09-11T11:47:20,groq,openai/gpt-oss-20b,335,59,6,65,7e-06,559.6
2026-09-11T11:47:22,groq,openai/gpt-oss-20b,273,68,180,248,2.5e-05,1181.5
2026-09-11T12:00:10,groq,openai/gpt-oss-20b,269,63,12,75,8e-06,734.9
2026-09-11T12:00:15,groq,openai/gpt-oss-20b,198,32,1175,1207,0.000121,2812.8
2026-09-11T12:00:18,groq,openai/gpt-oss-20b,286,67,11,78,8e-06,855.9
2026-09-11T12:00:20,groq,openai/gpt-oss-20b,386,85,21,106,1.1e-05,793.5
2026-09-11T12:00:24,groq,openai/gpt-oss-20b,478,104,57,161,1.6e-05,1760.6
2026-09-11T12:00:26,groq,openai/gpt-oss-20b,278,66,8,74,7e-06,999.2
2026-09-11T12:00:29,groq,openai/gpt-oss-20b,514,91,38,129,1.3e-05,540.5
2026-09-11T12:00:32,groq,openai/gpt-oss-20b,349,74,42,116,1.2e-05,1122.1
2026-09-11T12:00:35,groq,openai/gpt-oss-20b,334,74,27,101,1e-05,1745.8
2026-09-11T12:00:38,groq,openai/gpt-oss-20b,323,56,29,85,8e-06,752.4
2026-09-11T12:00:41,groq,openai/gpt-oss-20b,396,77,48,125,1.3e-05,969.2
2026-09-11T12:00:44,groq,openai/gpt-oss-20b,333,66,29,95,1e-05,1298.3
2026-09-11T12:00:47,groq,openai/gpt-oss-20b,441,92,12,104,1e-05,897.0
2026-09-11T12:00:50,groq,openai/gpt-oss-20b,649,115,73,188,1.9e-05,1162.4
2026-09-11T12:00:52,groq,openai/gpt-oss-20b,319,64,135,199,2e-05,697.8
2026-09-11T12:00:55,groq,openai/gpt-oss-20b,565,103,50,153,1.5e-05,908.4
2026-09-11T12:00:57,groq,openai/gpt-oss-20b,224,45,16,61,6e-06,514.4
2026-09-11T12:01:00,groq,openai/gpt-oss-20b,271,53,14,67,7e-06,1127.7
2026-09-11T12:01:03,groq,openai/gpt-oss-20b,335,59,11,70,7e-06,626.9
2026-09-11T12:01:07,groq,openai/gpt-oss-20b,273,68,131,199,2e-05,898.3
