timestamp,backend,model,prompt_length_chars,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms
2026-09-11T12:02:26,groq,openai/gpt-oss-20b,626,146,24,170,1.7e-05,765.4
2026-09-11T12:02:32,groq,openai/gpt-oss-20b,198,32,643,675,6.8e-05,2886.5
2026-09-11T12:02:35,groq,openai/gpt-oss-20b,548,123,19,142,1.4e-05,1130.6
2026-09-11T12:02:38,groq,openai/gpt-oss-20b,847,246,21,267,2.7e-05,1259.8
2026-09-11T12:02:43,groq,openai/gpt-oss-20b,924,187,160,347,3.5e-05,2500.5
2026-09-11T12:02:47,groq,openai/gpt-oss-20b,635,147,13,160,1.6e-05,613.4
2026-09-11T12:02:58,groq,openai/gpt-oss-20b,644,112,41,153,1.5e-05,8761.1
2026-09-11T12:03:02,groq,openai/gpt-oss-20b,836,184,42,226,2.3e-05,1252.4
2026-09-11T12:03:06,groq,openai/gpt-oss-20b,746,176,503,679,6.8e-05,1546.4
2026-09-11T12:03:09,groq,openai/gpt-oss-20b,515,101,24,125,1.3e-05,1036.3
2026-09-11T12:03:12,groq,openai/gpt-oss-20b,598,116,62,178,1.8e-05,683.5
2026-09-11T12:03:15,groq,openai/gpt-oss-20b,481,92,32,124,1.2e-05,679.7
2026-09-11T12:03:19,groq,openai/gpt-oss-20b,796,164,15,179,1.8e-05,902.0
2026-09-11T12:03:22,groq,openai/gpt-oss-20b,1235,226,76,302,3e-05,1166.0
2026-09-11T12:03:25,groq,openai/gpt-oss-20b,859,172,194,366,3.7e-05,1094.8
2026-09-11T12:03:36,groq,openai/gpt-oss-20b,918,162,30,192,1.9e-05,7552.8
2026-09-11T12:03:40,groq,openai/gpt-oss-20b,747,162,23,185,1.9e-05,2633.5
2026-09-11T12:03:43,groq,openai/gpt-oss-20b,445,83,15,98,1e-05,503.2
2026-09-11T12:03:47,groq,openai/gpt-oss-20b,785,149,10,159,1.6e-05,616.7
2026-09-11T12:03:50,groq,openai/gpt-oss-20b,526,125,108,233,2.3e-05,970.1
